Station_Name,Street_Address,City,Access_Days_Time,EV_Level1_EVSE_Num,EV_Level2_EVSE_Num,EV_DC_Fast_Count,EV_Other_Info,New_Georeferenced_Column,Category,Latitude,Longitude,Total_EVSE_Num,distance_to_A,distance_to_B,geometry,Station_Category,Address_Number,Charger_Category
AAMCO EV,133 Pitkin St,East Hartford,24 hours daily,0,2,0,NONE,POINT (-72.65266880000001 41.7632299),Daily,41.7632299,-72.65266880000001,2,76.85521993993262,78.35887864526202,POINT (-72.65266880000001 41.7632299),Level 2 only,333,1-3
Winvian Farm - Tesla Destination,155 Alain White Rd,Morris,24 hours daily; for customer use only; see front desk for access,0,3,0,NONE,POINT (-73.201059 41.697035),Daily,41.697035,-73.201059,3,34.914423301431576,39.649688464525255,POINT (-73.201059 41.697035),Level 2 only,334,1-3
Brass Mill Center - Entrance 3,495 Union St,Waterbury,6am-12pm daily,0,4,0,NONE,POINT (-73.023973 41.549008),Daily,41.549008,-73.023973,4,39.620733281464325,39.79511139746933,POINT (-73.023973 41.549008),Level 2 only,10,4-6
COMM LOT STA 1,13 Durant Ave.,Bethel,24 hours daily,0,2,0,NONE,POINT (-73.4178034 41.3762377),Daily,41.3762377,-73.4178034,2,11.51755223724386,3.664660861092067,POINT (-73.4178034 41.3762377),Level 2 only,335,1-3
Waterbury-Oxford Airport,300 Christian St,Oxford,24 hours daily,0,2,0,NONE,POINT (-73.146142 41.477151000000006),Daily,41.477151000000006,-73.146142,2,28.387035377067278,27.30768227839963,POINT (-73.146142 41.477151000000006),Level 2 only,336,1-3
Shagbark Lumber and Farm Supply,1 Mt Parnassus Millington Rd,East Haddam,24 hours daily,0,1,0,NONE,POINT (-72.442533 41.463278),Daily,41.463278,-72.442533,1,87.14592385373766,84.8873720728388,POINT (-72.442533 41.463278),Level 2 only,337,1-3
Metro Green Residential Parking - Tesla Destination,717  Atlantic St,Stamford,24 hours daily,0,3,0,NONE,POINT (-73.540098 41.04514),Daily,41.04514,-73.540098,3,47.01562738773438,39.499719186166665,POINT (-73.540098 41.04514),Level 2 only,338,1-3
Hartford Road Henny Penny,969 Hartford Road,Waterford,mo: 12:00am-12:00am; tu: 12:00am-12:00am; we: 12:00am-12:00am; th: 12:00am-12:00am; fr: 12:00am-12:00am; sa: 12:00am-12:00am; su: 12:00am-12:00am,0,2,0,NONE,POINT (-72.1591426 41.3874871),Other,41.3874871,-72.1591426,2,111.23045221376854,108.29944805299138,POINT (-72.1591426 41.3874871),Level 2 only,339,1-3
FOXWOODS,101 Trolley Line Blvd,Mashantucket,24 hours daily,0,2,0,NONE,POINT (-71.9523342 41.469981700000005),Daily,41.469981700000005,-71.9523342,2,128.08986673260114,125.79027406517693,POINT (-71.9523342 41.469981700000005),Level 2 only,340,1-3
Convention Center - Hartford,100 Columbus Blvd,Hartford,24 hours daily; pay lot,0,6,0,NONE,POINT (-72.668973 41.762852),Daily,41.762852,-72.668973,6,75.61174898974954,77.18050650097965,POINT (-72.668973 41.762852),Level 2 only,341,4-6
County Line Buick-Nissan,2191 Straits Turnpike,Middlebury,dealership business hours,0,1,0,NONE,POINT (-73.098764 41.568122),Business Hours,41.568122,-73.098764,1,34.21318049761195,35.36660965829316,POINT (-73.098764 41.568122),Level 2 only,342,1-3
MYSTIC AQUARIUM,55 Coogan Blvd,Mystic,24 hours daily,0,0,1,NONE,POINT (-71.954088 41.373074),Daily,41.373074,-71.954088,1,128.45754004327503,125.48282901725547,POINT (-71.954088 41.373074),DC Fast only,343,1-3
University of Connecticut - Waterbury,99 E Main St,Waterbury,24 hours daily,0,2,0,NONE,POINT (-73.038135 41.555816),Daily,41.555816,-73.038135,2,38.656672191611165,39.069207516959395,POINT (-73.038135 41.555816),Level 2 only,344,1-3
Danbury Parking Authority,21 Delay St,Danbury,garage business hours,0,2,0,NONE,POINT (-73.451059 41.396042),Business Hours,41.396042,-73.451059,2,8.341362998230286,0.28189002209655234,POINT (-73.451059 41.396042),Level 2 only,345,1-3
INFINITYGREEN,201 Commons Park S,Stamford,24 hours daily,0,2,0,NONE,POINT (-73.5405387 41.040838),Daily,41.040838,-73.5405387,2,47.49473003284439,39.97625965215049,POINT (-73.5405387 41.040838),Level 2 only,346,1-3
City of Hartford - City Hall,35 Arch St,Hartford,24 hours daily,0,1,0,NONE,POINT (-72.672842 41.762206),Daily,41.762206,-72.672842,1,75.29054599143885,76.86917765721209,POINT (-72.672842 41.762206),Level 2 only,347,1-3
White Hart Inn - Tesla Destination,15 Undermountain Rd,Salisbury,24 hours daily; for customer use only,0,1,0,NONE,POINT (-73.42219800000001 41.98483),Daily,41.98483,-73.42219800000001,1,57.81350813837708,65.58462792898374,POINT (-73.42219800000001 41.98483),Level 2 only,348,1-3
Premier Subaru,155 N Main St,Branford,24 hours daily,0,2,0,NONE,POINT (-72.813257 41.287914),Daily,41.287914,-72.813257,2,59.64408151749657,54.929179477014245,POINT (-72.813257 41.287914),Level 2 only,349,1-3
Central Connecticut State University - Student Center Parking Garage,165 Ella Grasso Blvd,New Britain,24 hours daily,0,3,0,NONE,POINT (-72.7663278757019 41.6938875513217),Daily,41.6938875513217,-72.7663278757019,3,65.08865439157172,66.30007185278976,POINT (-72.7663278757019 41.6938875513217),Level 2 only,350,1-3
University of Connecticut - South Parking Garage,505 Jim Calhoun Way,Storrs,garage business hours,0,2,0,NONE,POINT (-72.253601 41.805152),Business Hours,41.805152,-72.253601,2,109.33142104553717,109.96254724364395,POINT (-72.253601 41.805152),Level 2 only,351,1-3
Carter Chevrolet,175 Hartford Turnpike,Vernon,dealership business hours,0,2,1,NONE,POINT (-72.5009065449829 41.8218766595564),Business Hours,41.8218766595564,-72.5009065449829,3,91.0429440307543,92.52866272642147,POINT (-72.5009065449829 41.8218766595564),Level 2 and DC Fast,352,1-3
Dunkin' Donuts,189 Forbes Ave,New Haven,24 hours daily,0,0,1,NONE,POINT (-72.9 41.294167),Daily,41.294167,-72.9,1,52.59693426759433,47.69656690272932,POINT (-72.9 41.294167),DC Fast only,353,1-3
Bloomfield Human Services Center,330 Park Avenue,Bloomfield,mo: not specified; tu: not specified; we: not specified; th: not specified; fr: not specified; sa: not specified; su: not specified,0,2,0,NONE,POINT (-72.712466 41.8234945),Other,41.8234945,-72.712466,2,75.64152393466652,78.02239208233523,POINT (-72.712466 41.8234945),Level 2 only,354,1-3
Grand Central Fashion Plaza Shopping Center - Tesla Supercharger,1145 High Ridge Rd,North Stamford,24 hours daily; for tesla use only,0,0,8,NONE,POINT (-73.546513 41.107722),Tesla,41.107722,-73.546513,8,40.168389771001024,32.81349046307196,POINT (-73.546513 41.107722),DC Fast only,355,7-9
University of Connecticut - North Parking Garage,103 N Eagleville Rd,Storrs,garage business hours,0,2,0,NONE,POINT (-72.258277 41.809176),Business Hours,41.809176,-72.258277,2,109.11778540156081,109.79167080805732,POINT (-72.258277 41.809176),Level 2 only,356,1-3
Fairfield SB - Tesla Supercharger,267 Round Hill Road,Fairfield,24 hours daily; for tesla use only,0,0,8,NONE,POINT (-73.255573 41.14807),Tesla,41.14807,-73.255573,8,40.27230565299709,32.05317920458689,POINT (-73.255573 41.14807),DC Fast only,357,7-9
Fairfield Woods Library,1147 Fairfield Woods Rd,Fairfield,24 hours daily,0,1,0,NONE,POINT (-73.250024 41.187855),Daily,41.187855,-73.250024,1,36.69842023326008,28.64034176668483,POINT (-73.250024 41.187855),Level 2 only,358,1-3
Yankee Doodle,10 Burnell Boulevard,Norwalk,mon: 24 hours | tue: 24 hours | wed: 24 hours | thu: 24 hours | fri: 24 hours | sat: 24 hours | sun: 24 hours,0,1,0,NONE,POINT (-73.414932 41.11803),Daily,41.11803,-73.414932,1,39.15014109271268,30.913632680055233,POINT (-73.414932 41.11803),Level 2 only,359,1-3
Lee Partyka Chevrolet Mazda Isuzu,200 Skiff St,Hamden,dealership business hours,0,3,0,NONE,POINT (-72.9100121 41.3729709),Business Hours,41.3729709,-72.9100121,3,49.23306127519609,45.567429458359115,POINT (-72.9100121 41.3729709),Level 2 only,360,1-3
777 MAIN ST,71 Asylum St,Hartford,24 hours daily,0,10,1,NONE,POINT (-72.674468 41.766676),Daily,41.766676,-72.674468,11,75.38477733239824,77.01747954355362,POINT (-72.674468 41.766676),Level 2 and DC Fast,361,10+
Norwich Public Utilities,173 N Main St,Norwich,24 hours daily,0,4,0,NONE,POINT (-72.063516 41.52757900000001),Daily,41.52757900000001,-72.063516,4,118.94292867616998,117.10097278122144,POINT (-72.063516 41.52757900000001),Level 2 only,362,4-6
Fairfield Plaza,116 Danbury Rd,New Milford,24 hours daily,0,0,1,NONE,POINT (-73.41763 41.55735),Daily,41.55735,-73.41763,1,11.581018190342991,18.30541259996865,POINT (-73.41763 41.55735),DC Fast only,363,1-3
Eastern Connecticut State University - Shakespeare Parking Garage,24 Charger Oak Dr,Willimantic,24 hours daily,0,4,0,NONE,POINT (-72.208134 41.7385909),Daily,41.7385909,-72.208134,4,110.70539816969242,110.70997248645477,POINT (-72.208134 41.7385909),Level 2 only,364,4-6
